section,खण्ड (क) - इकाई 1
1.,भारत - संसाधन एवं उपयोग
2.,(क) प्राकृतिक संसाधन
3.,(ख) जल संसाधन
4.,(ग) वन एवं वन्य प्राणी संसाधन
5.,(घ) खनिज संसाधन
6.,(ङ) शक्ति (ऊर्जा) संसाधन
section,इकाई 2
1.,कृषि
section,इकाई 3
1.,निर्माण उद्योग
section,इकाई 4
1.,परिवहन संचार एवं व्यापार
section,इकाई 5
1.,बिहार - कृषि एवं वन संसाधन
2.,खनिज एवं उर्जा संसाधन
3.,बिहार - उद्योग एवं परिवहन
4.,बिहार - जनसंख्या एवं नगरीकरण
section,इकाई 6
1.,मानचित्र अध्ययन - उच्चावच निरूपण
section,खण्ड (ख) - इकाई 1
1.,प्राकृतिक आपदा - एक परिचय
section,इकाई 2
1.,प्राकृतिक आपदा एवं प्रबंधन - बाढ़ और सुखाड़
section,इकाई 3
1.,प्राकृतिक आपदा एवं प्रबन्धन - भूकंप एवं सुनामी
section,इकाई 4
1.,जीवन रक्षक आकस्मिक प्रबंधन
section,इकाई 5
1.,आपदा काल में वैकल्पिक संचार व्यवस्था
section,इकाई 6
1.,आपदा और सह-अस्तित्व