भूकम्प के दौरान सबसे अधिक क्षति क्यों होती है?,लोग तैयार नहीं रहते,पानी के कारण,भवनों की खराब गुणवत्ता,भूकम्प का पूर्वानुमान हो जाने से,a
"26 जनवरी, 2001 के भुज भूकम्प की तीव्रता कितनी थी?",6.5,6.9,3.2,5.9,b
भूकम्प संभावित क्षेत्रों में सुरक्षित भवन निर्माण के लिए कौन-सा आकार सबसे उपयुक्त है?,T आकार,U आकार,आयताकार,X आकार,c
भूस्खलन के मुख्यतः कितने रूप होते हैं?,तीन,चार,पाँच,छह,c
भूस्खलन के दौरान चट्टानों के गिरने को क्या कहा जाता है?,Slump with flow,Debris slide,Rock fall,Rock slide,c
सुनामी के प्रभाव को कम करने के लिए कौन-सा उपाय उचित है?,घरों को समुद्र के पास बनाना,कंक्रीट अवरोधक बनाना,खेतों में जल जमा करना,वनस्पति हटाना,b
सुनामी लहरों को रोकने के लिए कौन-सी तकनीक का उपयोग होता है?,डैम निर्माण,पोताश्रय,बड़ी नांव,सघन वृक्षारोपण,d
26 दिसंबर 2004 की सुनामी ने सबसे अधिक कहां विनाश किया?,यूरोप,दक्षिण-पूर्व एशिया,उत्तरी अमेरिका,मध्य-पूर्व एशिया,b
सुनामी के आशंका वाले तटीय क्षेत्रों में मकान ऊँचे स्थानों पर और तट से करीब कितनी दूरी पर बनाना चाहिए?,50 मीटर,100 मीटर,200 मीटर,10 मीटर,b
सुनामी की चेतावनी हेतु कौन-सा उपकरण सबसे उपयोगी है?,जलामापक,सुनामीटर,हवाई जहाज,एमीटर,b
भूस्खलन रोकने हेतु कौन-सा कार्य किया जाना चाहिए?,घासपात रोंपना,खेत खोदना,पानी जमा करना,वनस्पति हटाना,a
भूस्खलन में चट्टानों के खिसकने को क्या कहते हैं?,Slump with flow,Rock slide,Rock fall,Deters fall,b
सुनामी के दौरान किन क्षेत्रों को सुरक्षित करना प्राथमिकता होनी चाहिए?,बंदरगाह,पहाड़,जंगल,मैदान,a
भूस्खलन रोकने के लिए किन क्षेत्रों में वृक्षारोपण करना चाहिए?,मैदानी,रेगिस्तानी,वन क्षेत्रों,ढलान वाले क्षेत्रों,d
भूकम्प संभावित क्षेत्रों में गलियों की स्थिति कैसी होनी चाहिए?,संकरी,टेढ़ी,चौड़ी,खड़ी,c
भूकम्प के लिए भवन की नींव कैसी होनी चाहिए?,गहरी और मजबूत,हल्की,ऊपरी सतह पर बनी,छोटी,a
शहरी क्षेत्रों में जलजमाव वाले क्षेत्रों में क्या नहीं होना चाहिए ?,वनस्पति का विकास,भवन निर्माण कार्य,तालाबों का निर्माण,सिंचाई योजना,b
बाढ़ से बचने के लिए भवनों का निर्माण कैसे किया जाना चाहिए ?,नदी के पास,कंकरीट निर्मित खंभों पर,निचले क्षेत्रों में,झील के पास,b
बाढ़ प्रभावित क्षेत्रों में वनों का विकास किसके लिए सहायक होता है ?,बाढ़ की प्रवणता कम करने में,जलधारण क्षेत्र बढ़ाने में,मृदा क्षरण को बढ़ाने में,जल जमाव को बढ़ाने में,a
बाढ़ से फसलों के नुकसान को कम करने के लिए क्या उपाय किया जाना सबसे उपयुक्त है ?,सिंचाई योजना लागू करना,तालाब बनाना,खाद्यान्न बैंक बनाना,जलमग्न पौधों का विकास,d 
बाढ़ से बचने के लिए खाद्यान्न बैंक का उद्देश्य क्या है ?,पानी का भंडारण तथा शुद्धिकरण,सिंचाई में सुधार लाने का प्रयास,अकाल की स्थिति पर नियंत्रण,भवन निर्माण,c
1954 ई. में भारत सरकार ने बाढ़ नियंत्रण के लिए कौन-कौन से आयाम निर्धारित किए ?,तत्काल और अल्पकालिक,"समसामयिक, दीर्घकालिक और अल्पकालिक","तत्काल, अल्पकालिक और दीर्घकालिक",तत्काल और दीर्घकालिक,c
सुखाड़ का सबसे खतरनाक प्रकार कौन सा माना जाता है ?,सामान्य सुखाड़,कृषि सुखाड़,मौसमी सुखाड़,प्राकृतिक सुखाड़,b 
सुखाड़ प्रभावित क्षेत्रों में जल विभाजक क्षेत्र का विकास क्यों किया जाता है ?,मृदा और जल संरक्षण के लिए,जलस्तर कम करने के लिए,पौधों को नष्ट करने के लिए,कृषि उत्पादन घटाने के लिए,a
सुखाग्रस्त क्षेत्रों में कौन सी फसलें लगाई जाना सबसे उपयुक्त है ?,धान और गेहूं,तंबाकू और कपास,आलू और टमाटर,ज्वार और बाजरा,d 
सिंचाई के विकास से कौन से राज्य मुख्यतः अन्न भंडार बन गए हैं ?,बिहार और झारखंड,पंजाब और हरियाणा,गुजरात और महाराष्ट्र,उत्तर प्रदेश और राजस्थान,b
ड्रिप और छिड़काव सिंचाई का उपयोग क्यों किया जाता है ?,पानी बचाने के लिए,मृदा क्षरण के लिए,सिंचाई बंद करने के लिए,मिट्टी हटाने के लिए,a
सुखे की विभिषिका कम करने के लिए कौन सा कदम उपयोगी है ?,वन कटाई,कृत्रिम बाढ़,फसलों की कटाई,जलाशयों का निर्माण,d 
ढाल के समकोण पर बांध बनाने का उद्देश्य क्या है ?,सिंचाई बंद करना,जल का अधिकतम उपयोग,जलस्तर बढ़ाना,फसलों का उत्पादन रोकना,b
सह-अस्तित्व की सफलता किस पर निर्भर करती है ?,शहरीकरण पर,वन कटाई पर,जल विभाजक क्षेत्रों पर,आपसी सहयोग पर,d 