बिहार जनसंख्या के आकार की दृष्टि से भारत में कौन से स्थान पर है?,पहले,दूसरे,तीसरे,चौथे,c
बिहार की कुल जनसंख्या में हिंदू धर्मावलंबियों का प्रतिशत कितना है?,83.23,16.53,8.07,91.19,a
2001 की जनगणना के अनुसार बिहार की कुल जनसंख्या कितनी थी?,9.31 करोड़,7.5 करोड़,8.5 करोड़,8.29 करोड़,d
2001 की जनगणना के अनुसार बिहार में पुरुषों की संख्या कितनी थी?,3.97 करोड़,4.32 करोड़,5.1 करोड़,4.5 करोड़,b
2001 की जनगणना के अनुसार बिहार में लिंग अनुपात कितना है?,933,821,919,900,c
बिहार की नगरीय आबादी का प्रतिशत 2001 में कितना था?,27.78,15.6,2.3,10.5,d
बिहार की जन्म दर 2005 में कितनी थी?,23.8,28.6,30.4,41.2,c
बिहार में 2001 के अनुसार प्रति वर्ग किलोमीटर जनसंख्या घनत्व कितना था?,600,881,933,1200,b
बिहार में सबसे अधिक जनसंख्या घनत्व किस जिले में है?,शिवहर,दरभंगा,वैशाली,बेगूसराय,a
बिहार में सबसे अधिक जनसंख्या वाला जिला कौन सा है?,पटना,मुजफ्फरपुर,गया,पूर्णिया,a
बिहार का सबसे कम शहरीकृत राज्य होने का प्रमुख कारण क्या है?,औद्योगिक विकास की कमी,नैतिक विकास की कमी,भौतिक विविधता,धार्मिक विकास का अभाव,a
बिहार की 89.05% आबादी कहां निवास करती है?,शहरी क्षेत्रों में,औद्योगिक क्षेत्रों में,ग्रामीण क्षेत्रों में,पहाड़ी क्षेत्रों में,c 
बिहार के उत्तरी भाग में कुल राज्य क्षेत्रफल का कितना प्रतिशत भाग है?,49.73%,43.80%,56.20%,50.27%,b 
2001 की जनगणना के अनुसार बिहार में कुल नगरीय बस्तियों की संख्या कितनी थी?,120,150,131,140,c 
बिहार के नगरों में सबसे बड़ा महानगर कौन सा है?,पटना,गया,मुजफ्फरपुर,भागलपुर,a
विभाजन से पहले बिहार का एकमात्र नियोजित नगर कौन सा था ?,बरौनी,टाटा नगर,कटिहार,गुप्ता नगर,b 
बिहार का सबसे ज्यादा जनसंख्या घनत्व वाला जिला कौन सा है ?,पटना,शेखपूरा,शिवहर,दरभंगा,c
बिहार में 1991-2001 की दशकीय जनसंख्या वृद्धि दर कितनी थी?,21.11%,28.62%,30.4%,25%,b 
बिहार में कितने वर्ष पूर्व से ही मानव बसाव के प्रमाण मिलते है ?,1000,2500,3000,4000,c
बिहार में किस आयु वर्ग के लोग सबसे अधिक है ?,25 से कम,25-40,40-60,60 से ज्यादा,a
NIPCCD का हिन्दी में पूर्ण रूप क्या है ?,माता-पिता के सहयोग एवं बाल विकास संस्थान,सार्वजनिक बच्चों की देखभाल और विकास राष्ट्रीय संस्थान,पेशेवर बाल देखभाल विकास राष्ट्रीय संस्थान,राष्ट्रीय लोक सहयोग एवं बाल विकास संस्थान,d 
दक्षिण बिहार में राज्य की कितनी प्रतिशत जनसंख्या निवास करती है ?,22.77%,30.69%,36.58%,47.62%,c
जनसंख्या घनत्व के आधार पर बिहार को कितने वर्गों में बाँटा जाता है ?,2,5,7,10,b
बिहार में अत्यधिक घनत्व वाले जिलों का जनसंख्या घनत्व लगभग कितना है ?,1000,1200,1400,1600,b
बिहार में मधेपुरा जिला किस घनत्व वाले वर्ग में आता है ?,अत्यधिक घनत्व,उच्च घनत्व,मध्यम घनत्व,अत्यंत काम घनत्व,c
बिहार में अत्यधिक कम घनत्व वाले जिलों का जनसंख्या घनत्व लगभग कितना है ?,200 से कम,400 से कम,600 से कम,800 से कम,c
भारत में बड़े राज्यों में सबसे कम शहरीकृत राज्य कौन है ?,बिहार,उड़ीसा,असम,झारखंड,a
2001 की जनगणना के अनुसार भारत की कितनी जनसंख्या नगरीय है ?,10.5%,23.78%,36.47%,47.69%,b
2005 में बिहार की मृत्यु दर कितनी थी ?,8.1,10.7,16.47,20.69,a
किसने भारत को आधुनिक नगर नियोजन से परिचय कराया ?,ओम बिरला,बाल गंगाधर तिलक,डलहौजी,जमशेदजी टाटा,d