पाटलिपुत्र नगर प्राचीन काल में किस नाम से प्रसिद्ध था?,पुष्पपुर,कुसुमपुर,दोनों,कोई नहीं,c
चन्द्रगुप्त मौर्य के समय पाटलिपुत्र की विशेषता क्या थी?,कलह,अत्युत्तम शोभा,अग्निकांड,बाढ़,b
मेगास्थनीज ने पाटलिपुत्र को मुख्य रूप से किसलिए प्रसिद्ध बताया?,रक्षा व्यवस्था,बाढ़,तकनीकी,फूलों का उत्पादन,a
पाटलिपुत्र का प्राचीन नाम कौन नहीं है ?,पुष्पपुर,कुसुमपुर,पाटलीग्राम,अशोकपुरम्,d
गुप्त वंश के शासनकाल में नगर में किस उत्सव का विशेष आनंद लिया जाता था?,दीपावली,गुप्त महोत्सव,कौमुदी महोत्सव,दुर्गा पूजा,c 
पाटलीपुत्र शहर पटना नाम से कब प्रसिद्ध हुआ?,गुप्तकाल,मध्यकाल,प्राचीनकाल,बुद्धकाल,b
पटना नगर की पालिका देवी कौन है?,गंगा देवी,दुर्गा,पटन देवी,सरस्वती,c
पटना नगर किस नदी के किनारे बसा हुआ है?,सोन,गंगा,कोसी,सरयू,b
गांधी सेतु नामक पुल की विशेषता क्या है?,विशाल,सबसे पुराना,सबसे ऊंचा,कोई नहीं,a
पटना नगर के सिख समुदाय के पूजनीय स्थल का नाम क्या है?,स्वर्ण मंदिर,गुरुद्वारा,धौलागिरी,महावीर मंदिर,b
पटना नगर के पर्यटन स्थलों में कौन सा स्थल शामिल नहीं है?,महावीर मंदिर,गोलघर,दशम गुरु का गुरुद्वारा,कुशेश्वर स्थान,d
पाटलिपुत्र मध्यकाल में कितने वर्ष तक जर्जर अवस्था में रहा?,1000 वर्ष,2000 वर्ष,3000 वर्ष,4000 वर्ष,a
अशोक के समय पाटलिपुत्र कैसा था ?,असमृद्ध,दुर्बल,समृद्ध,जंगल राज,c
पाटलिपुत्र के संग्रहालय की प्रमुखता क्या है?,अरस्तू की अंगूठी,गोलघर,न्यायालय,मौर्यकालीन अवशेष,d 
गुप्तकालीन कौमुदी महोत्सव जैसा समारोह आज पटना में किस पर्व में देखा जाता है?,स्वतंत्र,दुर्गा पूजा,होली,दीपावली,b
पटना का गुरुद्वारा किसलिए प्रसिद्ध है?,अशोक काल,गुप्त काल,दशम गुरु का जन्म स्थान,मुगल काल,c
पटना नगर आज किसकी राजधानी है?,बिहार,उत्तर प्रदेश,उड़ीसा,भारत,a
कुट्टनीमताख्य नामक काव्य किसकी रचना है ?,समुद्रगुप्त,राजशेखर,मोहन भट्ट,दामोदर गुप्त,d 
काव्यमीमांसा नामक कवि शिक्षा प्रमुख ग्रंथ किसकी रचना है ?,समुद्रगुप्त,राजशेखर,मोहन भट्ट,लालमग्न,b
कौमुदी महोत्सव कब मनाया जाता था ?,ग्रीष्मकाल,वर्षा ऋतु,शीतकाल,शरत्काल,d 
पुरंदरः का अर्थ क्या है ?,पृथ्वी,इन्द्र,पटना,पहले का,b
सुतराम् का आर्थ क्या है ?,आज तक,घिरा,आश्रय लिया,और अधिक,d
वसद्विचित्रम् का संधि विच्छेद क्या होगा ?,वस + द्विचित्रा,वस्त + विचित्रम्,वसत् + विचित्रम्,वसद् + विचित्रम्,c
पटना + इति की संधि क्या होगी ?,पटनाती,पटन्ति,पटनेति,पटनति,c
महानगरम् में कौन सा समास है ?,षष्ठी तत्पुरष,कर्मधारय,द्विगु,बहुव्रीहि:,b
सचिवालयः में कौन स समास है ?,कर्मधारय,द्विगु,षष्ठी तत्पुरष,द्वन्द्व,c
इति + एते की संधि क्या होगी ?,इत्येते,इत्यते,इतिते,इत्यन्त,a
गोविन्दसिंहः सिखसम्प्रदाय _______ गुरुः आसीत् ।,प्रथमः,त्रयो,षट्,दशमः,d
अद्यावधि का अर्थ क्या है ?,दूसरा,आधुनिक काल,आज तक,आज-कल,c
मही का अर्थ क्या है ?,महान,भगवान,महिमा,धरती,d 