हजारी प्रसाद द्विवेदी का जन्म कब और कहाँ हुआ था?,1905 बलिया,1907 आरत दुबे का छपरा,1910 काशी,1920 चंडीगढ़,b
द्विवेदी जी की साहित्यिक दृष्टि किस प्रकार की थी?,धार्मिक,पारंपरिक,मानवतावादी,वैज्ञानिक,c
हजारी प्रसाद द्विवेदी किन भाषाओं में निपुण थे?,"संस्कृत, बाँग्ला","प्राकृत,अपभ्रंश","संस्कृत, प्राकृत, बाँग्ला, अपभ्रंश","तमिल, अपभ्रंश",c
किस पुस्तक के लिए द्विवेदी जी को साहित्य अकादमी पुरस्कार मिला?,विचार-प्रवाह,आलोक पर्व,कल्पलता,अनामदास का पोथा,b
द्विवेदी जी ने किस संस्कृति को भारतीय संस्कृति का स्रोत माना?,एक जाति की,अनेक जातियों के योगदान से बनी,विदेशी संस्कृतियों का मिश्रण,केवल भारतीय धर्म का,b
द्विवेदी जी का उपन्यास कौन सा है?,प्राचीन भारत के कलात्मक विनोद,कुटज,बाणभट्ट की आत्मकथा,आलोक पर्व,c
'नाथ संप्रदाय' पुस्तक किसने लिखी?,हजारी प्रसाद द्विवेदी,महावीर प्रसाद द्विवेदी,राहुल सांकृत्यायन,रामधारी सिंह दिनकर,a
द्विवेदी जी का निबंध संग्रह कौन सा है?,कुटज,सूर साहित्य,पुनर्नवा,नाथ संप्रदाय,a
हजारी प्रसाद द्विवेदी ने 'विश्व भारती' का संपादन कहाँ किया?,दिल्ली,काशी,शांति निकेतन,लखनऊ,c
द्विवेदी जी का साहित्य किस प्रकार के विचारों को दर्शाता है?,पुरातन,सांस्कृतिक,धार्मिक,राजनैतिक,b
'अनामदास का पोथा किस प्रकार की रचना है?',निबंध,आलोचना,उपन्यास,कविता,c
द्विवेदी जी की 'सूर साहित्य' पुस्तक किस श्रेणी की है?,आलोचना,निबंध,उपन्यास,कहानी,a
द्विवेदी जी को किस उपाधि से सम्मानित किया गया?,भारत रत्न,पद्मभूषण,पद्म श्री,पद्म विभूषण,b
हजारी प्रसाद द्विवेदी का निधन कब हुआ?,1977,1978,1979,1980,c
द्विवेदी जी ने 'नाखूनों क्यों बढ़ते हैं' के माध्यम से किस विषय को उजागर किया है?,सौंदर्यबोध,पाशविक वृत्ति,सभ्यता और संस्कृति का विकास,सभी,d
चारुचंद्रलेख किस श्रेणी की रचना है?,कविता,उपन्यास,निबंध,आलोचना,b
किस निबंध में द्विवेदी जी का मानववादी दृष्टिकोण प्रकट होता है?,नाखूनों क्यों बढ़ते हैं,अनामदास का पोथा,विचार-प्रवाह,बाणभट्ट की आत्मकथा,a
हजारी प्रसाद द्विवेदी ने किस विश्वविद्यालय में अध्यापन कार्य किया?,काशी हिंदू विश्वविद्यालय,चंडीगढ़ विश्वविद्यालय,शांति निकेतन,सभी,d
'नाथ सिद्धों की बानियाँ' किसने संपादित की?,राहुल सांकृत्यायन,हजारी प्रसाद द्विवेदी,महावीर प्रसाद द्विवेदी,नामवर सिंह,b
मनुष्य के नाखून क्यों बढ़ते हैं?,जीवित रहने के लिए,सौंदर्य के लिए,अनायास,सभी के लिए,c
नाखूनों का बढ़ना किसका प्रमाण है?,मानवता,पशुत्व,बुद्धिमत्ता,इतिहास,b
प्राचीन मनुष्यों ने नाखूनों का उपयोग किसके लिए किया?,आहार,अस्त्र,सौंदर्य,खेल,b
नाखूनों के बढ़ने की प्रवृत्ति किस प्रकार की है?,स्वाभाविक,शिक्षा द्वारा,संस्कार द्वारा,अनुभव द्वारा,a
मनुष्य ने नाखूनों को कब सुकुमार विनोदों के लिए उपयोग करना शुरू किया?,1000 साल पहले,2000 साल पहले,5000 साल पहले,3000 साल पहले,b
किस ऋषि ने मनुष्य की पशुता और मनुष्यता के बीच का भेद बताया?,गौतम,वाल्मीकि,दधीचि,वात्स्यायन,a
भारत में नाखूनों को सजाने की कला किसने बताई?,महाभारत,वात्स्यायन के कामसूत्र,वेद,उपनिषद,b
नाखून काटने की प्रवृत्ति किसकी निशानी है?,मनुष्यता,पशुत्व,बुद्धिमत्ता,पवित्रता,a
मनुष्य के अस्त्रों में कौन सा तत्व सबसे महत्वपूर्ण है?,सोना,लोहे,ताम्र,लकड़ी,b
इनमें से कोन मानव शरीर की कौन सी सहजात वृत्ति है?,नाखून का बढ़ना,केश का बढ़ना,पलकों का गिरना,उपरोक्त सभी,d
प्राचीन भारत में बड़े नाखून किसे पसंद थे?,दाक्षिणात्य लोग,गौड़ देश के लोग,आर्य,विदेशी,b
मनुष्य को सुख कैसे मिलेगा?,बाहरी उपकरणों से,आंतरिक विकास से,युद्ध से,धन से,b
'स्वाधीनता' का अर्थ क्या है?,अनधीनता,अपने ही अधीन रहना,स्वतंत्रता,सभी के लिए,b
मनुष्य की हिंसा को दूर करने का उपाय क्या है?,युद्ध,प्रेम,क्रोध,अज्ञानता,b
किस प्रकार की सोच मनुष्य की विशेषता है?,अनियंत्रित,विचारशील,संकीर्ण,आत्मकेंद्रित,b
मनुष्य की मनुष्यता के प्रमुख तत्व क्या हैं?,"संयम, श्रद्धा, तप","शक्ति, धन, ज्ञान","युद्ध, धन, बल","साहस, धन, बुद्धि",a
किसके बिना मनुष्य का अस्तित्व अधूरा है?,बाहरी अस्त्रों के,आंतरिक संयम के,ज्ञान के,संघर्ष के,b
'इण्डिपेण्डेन्स' का अर्थ क्या है?,अपने अधीन रहना,अनधीनता,स्वतंत्रता,स्वायत्तता,b
नाखून बढ़ने की प्रवृत्ति का अंतिम परिणाम क्या होगा?,नाखून कम हो जाएंगे,नाखून का बढ़ना बंद होगा,नाखून हमेशा बढ़ते रहेंगे,नाखून जंगली होंगे,b
क्या मानव शरीर में सहजात वृत्तियाँ रह गई हैं?,हाँ,नहीं,कभी नहीं,कुछ हद तक,a
नाखूनों के बढ़ने का विज्ञान क्या दर्शाता है?,विज्ञान,सहजात वृत्तियाँ,पशुत्व,मनुष्यता,b
सभी जातियों का एक सामान्य आदर्श क्या है?,आक्रमण,आत्म-निर्मित बंधन,अज्ञानता,धन का संग्रह,b
"अहिंसा, सत्य और अक्रोध का मूल उत्स क्या है?",दया,आत्म बंधन,कामना,धन,b
'पशुता' का वास्तविक अर्थ क्या है?,बलशाली होना,निरंकुशता,संयम,विज्ञान,b
नाखून बढ़ने से मनुष्य क्या करता है?,उसे काटता है,उसे बढ़ाता है,उसे सजाता है,उसे छोड़ देता है,a
'स्व' का बंधन किसके द्वारा प्रकट होता है?,भाषा द्वारा,विचारों द्वारा,कार्यें द्वारा,सभी के द्वारा,d
किस प्रकार की सोच मनुष्य को पशुता से अलग करती है?,संयम,संघर्ष,धन,शक्ति,a
मनुष्य के भीतर की घृणा क्या दर्शाती है?,पशुत्व,मनुष्यता,बुद्धिमत्ता,ज्ञान,a
नाखून काटने की प्रवृत्ति को क्या माना जाता है?,अनावश्यक,आवश्यक,मनुष्यता,साधारण,c
मनुष्य का असली धर्म क्या है?,हिंसा,"सत्य, अक्रोध, और दानशीलता",युद्ध,भोगवाद,b
नाखून क्यों बढ़ते हैं? यह प्रश्न लेखक के आगे कैसे उपस्थित हुआ?,ऐसे ही बैठे-बैठे मन में आ गया,किसी किताब मे पढ़ा,उनकी बेटी ने पूछा,किसी दोस्त ने पूछा,c
अल्पज्ञ का बहुवचन क्या है?,अल्पज्ञा,अल्पज्ञा के,अल्पज्ञों,अल्पज्ञ के,a
'बंदूक' का लिंग क्या है?,पुल्लिंग,स्त्रीलिंग,नपुंसक,कोई नहीं,b
वाक्य 'उसे जूझना पड़ता था' में क्रिया का काल क्या है?,वर्तमान काल,भविष्यत्काल,भूतकाल,संधि काल,c
'स्व' लगाकर एक शब्द क्या बनता है?,स्वयं,समाज,विश्व,अध्याय,a
'पशुता' का विलोम शब्द क्या है?,मनुष्यता,विनम्रता,बुद्धिमत्ता,संवेदनशीलता,a
'अल्पज्ञ' का अर्थ क्या है?,अधिक जाननेवाला,कम जाननेवाला,ज्ञानी,विद्वान,b
'दयनीय' का क्या अर्थ है?,निर्दय,दय करने योग्य,कठोर,प्रगाढ़,b
'विचरण' का अर्थ क्या है?,बैठना,घूमना,चलना,रुकना,b
'सहजात वृत्ति' का क्या अर्थ है?,जन्म के साथ पैदा होने वाली वृत्तियाँ,सीखी हुई वृत्तियाँ,अनुभव से प्राप्त वृत्तियाँ,सभी वृत्तियाँ,a
'समवेदना' का क्या अर्थ है?,दुख की अनुभूति करना,अनुभव करना,दर्द सहना,आनंद लेना,a